lon,lat,longitude,latitude
-92.0198427,30.2240897,-92.0198427,30.2240897
-120.3107256,47.4245218,-120.3107256,47.4245218
-86.954437,33.4017766,-86.954437,33.4017766
-122.4702079,37.6879241,-122.4702079,37.6879241
0.0352163,51.5255162,0.0352163,51.5255162
-122.2049066,47.6753782,-122.2049066,47.6753782
-82.6402915,27.7676008,-82.6402915,27.7676008
-80.2289571,26.3496347,-80.2289571,26.3496347
-86.8103567,33.5185892,-86.8103567,33.5185892
-72.8305154,41.8096201,-72.8305154,41.8096201
-85.615517,38.345068,-85.615517,38.345068
-77.026088,38.9906657,-77.026088,38.9906657
9.189982,45.4642035,9.189982,45.4642035
-8.6291053,41.1579438,-8.6291053,41.1579438
-79.433391,43.8590346,-79.433391,43.8590346
-89.3985283,32.3546679,-89.3985283,32.3546679
-76.6485822,39.0574783,-76.6485822,39.0574783
20.4489216,44.786568,20.4489216,44.786568
55.2707828,25.2048493,55.2707828,25.2048493
-78.7811169,35.79154,-78.7811169,35.79154
-81.834605,41.0691761,-81.834605,41.0691761
-1.1581086,52.9547832,-1.1581086,52.9547832
0.121817,52.205337,0.121817,52.205337
-119.0187125,35.3732921,-119.0187125,35.3732921
-121.4927067,38.5793282,-121.4927067,38.5793282
-122.5449763,37.9060368,-122.5449763,37.9060368
-86.8515279,21.161908,-86.8515279,21.161908
-110.966488,32.3909071,-110.966488,32.3909071
-87.2775053,33.8312185,-87.2775053,33.8312185
-95.8243956,29.7857853,-95.8243956,29.7857853
-74.072092,4.7109886,-74.072092,4.7109886
-87.5261458,41.1897566,-87.5261458,41.1897566
-70.2133622,41.6521348,-70.2133622,41.6521348
-158.1848755,21.4359641,-158.1848755,21.4359641
-71.5723953,43.1938516,-71.5723953,43.1938516
-87.879523,41.766022,-87.879523,41.766022
-102.3676431,31.8456816,-102.3676431,31.8456816
103.4049445,0.7697665,103.4049445,0.7697665
-111.0937311,39.3209801,-111.0937311,39.3209801
-121.9552356,37.3541079,-121.9552356,37.3541079
-76.1717547,43.1856814,-76.1717547,43.1856814
-76.4921829,38.9784453,-76.4921829,38.9784453
-121.8994016,36.9771729,-121.8994016,36.9771729
-76.568141,44.2618708,-76.568141,44.2618708
-97.1080656,32.735687,-97.1080656,32.735687
-113.5849611,53.5707363,-113.5849611,53.5707363
-95.6170928,37.0378225,-95.6170928,37.0378225
-67.6033952,46.150266,-67.6033952,46.150266
-74.1824367,40.0804742,-74.1824367,40.0804742
-76.1474244,43.0481221,-76.1474244,43.0481221
-92.1735164,38.5767017,-92.1735164,38.5767017
-122.3313685,47.6272507,-122.3313685,47.6272507
-84.0167423,33.9190653,-84.0167423,33.9190653
-71.4774291,41.5800945,-71.4774291,41.5800945
-81.6781467,29.9919085,-81.6781467,29.9919085
9.4709494,53.5928618,9.4709494,53.5928618
-74.4120953,40.5187154,-74.4120953,40.5187154
-77.1527578,39.0839973,-77.1527578,39.0839973
-122.1660756,37.424106,-122.1660756,37.424106
-76.4859544,44.2311717,-76.4859544,44.2311717
-1.470085,53.381129,-1.470085,53.381129
-7.6920536,53.1423672,-7.6920536,53.1423672
-3.188267,55.953252,-3.188267,55.953252
-93.0899578,44.9537029,-93.0899578,44.9537029
-2.12066,52.806693,-2.12066,52.806693
57.552152,-20.348404,57.552152,-20.348404
-0.1156148,51.4612794,-0.1156148,51.4612794
-6.2802213,54.8652935,-6.2802213,54.8652935
-74.297333,4.570868,-74.297333,4.570868
4.4777326,51.9244201,4.4777326,51.9244201
13.7768182,45.6495264,13.7768182,45.6495264
-96.825427,32.9481447,-96.825427,32.9481447
-2.2405035,53.7892877,-2.2405035,53.7892877
33.3822764,35.1855659,33.3822764,35.1855659
-98.1836216,26.1947962,-98.1836216,26.1947962
-83.2218731,42.4733688,-83.2218731,42.4733688
-94.6707917,38.9822282,-94.6707917,38.9822282
-0.2405299,52.5694985,-0.2405299,52.5694985
-62.6451191,45.5871702,-62.6451191,45.5871702
-82.9987942,39.9611755,-82.9987942,39.9611755
35.5914275,33.9224589,35.5914275,33.9224589
-79.0558445,35.9131996,-79.0558445,35.9131996
33.429859,35.126413,33.429859,35.126413
-73.5240738,40.7580684,-73.5240738,40.7580684
8.541694,47.3768866,8.541694,47.3768866
-2.737095,53.456307,-2.737095,53.456307
-0.4666513,52.1359783,-0.4666513,52.1359783
-47.9218204,-15.826691,-47.9218204,-15.826691
-0.319955,52.543725,-0.319955,52.543725
0.4685497,51.7355868,0.4685497,51.7355868
12.5683372,55.6760968,12.5683372,55.6760968
54.4848423,24.3699392,54.4848423,24.3699392
-122.8231915,47.0342629,-122.8231915,47.0342629
-121.6913439,38.1557502,-121.6913439,38.1557502
-1.128462,53.52282,-1.128462,53.52282
0.8864021,52.6139686,0.8864021,52.6139686
175.1080146,-36.8019237,175.1080146,-36.8019237
-121.2243214,38.7425292,-121.2243214,38.7425292
-115.1728484,36.1147065,-115.1728484,36.1147065
2.3112488,48.8403734,2.3112488,48.8403734
-88.0111746,41.8089191,-88.0111746,41.8089191
-123.0724139,49.3199816,-123.0724139,49.3199816
140.4675514,37.7502986,140.4675514,37.7502986
-79.0377388,43.0962143,-79.0377388,43.0962143
-118.3758828,34.0731137,-118.3758828,34.0731137
-102.552784,23.634501,-102.552784,23.634501
-117.8311428,33.7174708,-117.8311428,33.7174708
-72.5215009,41.7759301,-72.5215009,41.7759301
-75.9746472,40.9584181,-75.9746472,40.9584181
-89.3985283,40.6331249,-89.3985283,40.6331249
-97.1338899,29.98556,-97.1338899,29.98556
-89.6811799,41.8019705,-89.6811799,41.8019705
-51.2176584,-30.0346471,-51.2176584,-30.0346471
-96.6827565,32.8799598,-96.6827565,32.8799598
9.921747,57.0488195,9.921747,57.0488195
24.96676,45.943161,24.96676,45.943161
-82.0105148,33.4734978,-82.0105148,33.4734978
-46.8978057,-23.1857076,-46.8978057,-23.1857076
-86.1180435,39.978371,-86.1180435,39.978371
-66.3174271,18.3410116,-66.3174271,18.3410116
-2.6325074,53.5450645,-2.6325074,53.5450645
-94.6580927,39.0228065,-94.6580927,39.0228065
-86.5804473,35.5174913,-86.5804473,35.5174913
-97.175363,32.8324224,-97.175363,32.8324224
-82.2945923,38.4095298,-82.2945923,38.4095298
31.2357116,30.0444196,31.2357116,30.0444196
-0.399752,54.283113,-0.399752,54.283113
-1.541812,53.99212,-1.541812,53.99212
-1.5412015,53.9915028,-1.5412015,53.9915028
-1.265032,52.370878,-1.265032,52.370878
-0.189866,51.4493354,-0.189866,51.4493354
6.0838868,50.7753455,6.0838868,50.7753455
-0.0815066,53.5668201,-0.0815066,53.5668201
25.7481511,61.92411,25.7481511,61.92411
-80.2532249,26.3107774,-80.2532249,26.3107774
-117.151325,32.712931,-117.151325,32.712931
75.8617171,26.8176736,75.8617171,26.8176736
-85.6602058,30.1588129,-85.6602058,30.1588129
112.6326321,-7.9666204,112.6326321,-7.9666204
-93.6319131,42.0307812,-93.6319131,42.0307812
-75.977985,36.8529263,-75.977985,36.8529263
-90.2787,38.69771,-90.2787,38.69771
144.7851531,-37.4713077,144.7851531,-37.4713077
-69.7753222,44.2300698,-69.7753222,44.2300698
-73.9612887,41.9209018,-73.9612887,41.9209018
-73.2026138,40.8256536,-73.2026138,40.8256536
-3.576945,51.504286,-3.576945,51.504286
36.3360667,41.2797031,36.3360667,41.2797031
-115.1745559,36.1023715,-115.1745559,36.1023715
-77.2405153,38.9085472,-77.2405153,38.9085472
-84.4076337,33.7213834,-84.4076337,33.7213834
1.805886,41.2371851,1.805886,41.2371851
0.578411,51.517083,0.578411,51.517083
-117.6581562,33.5968913,-117.6581562,33.5968913
-94.8724706,40.3461017,-94.8724706,40.3461017
-8.9588478,51.9048039,-8.9588478,51.9048039
107.6095476,-6.9180035,107.6095476,-6.9180035
-64.7782313,46.0878165,-64.7782313,46.0878165
-97.59976,35.2472869,-97.59976,35.2472869
-72.878383,42.622664,-72.878383,42.622664
-73.9521468,40.7766412,-73.9521468,40.7766412
-80.3511953,33.6082184,-80.3511953,33.6082184
-2.217758,51.745734,-2.217758,51.745734
-4.2901015,55.890524,-4.2901015,55.890524
135.5021651,34.6937378,135.5021651,34.6937378
-41.8476941,-20.6905191,-41.8476941,-20.6905191
-0.5732182,51.2330699,-0.5732182,51.2330699
75.7872709,26.9124336,75.7872709,26.9124336
-2.4282192,53.5768647,-2.4282192,53.5768647
2.213749,46.227638,2.213749,46.227638
12.6197253,41.4495955,12.6197253,41.4495955
77.5945627,12.9715987,77.5945627,12.9715987
72.5713621,23.022505,72.5713621,23.022505
-2.0782533,51.8993855,-2.0782533,51.8993855
-86.902298,32.3182314,-86.902298,32.3182314
-97.0403352,32.8998091,-97.0403352,32.8998091
-46.6333094,-23.5505199,-46.6333094,-23.5505199
-72.5778415,44.5588028,-72.5778415,44.5588028
-87.9587538,36.8964067,-87.9587538,36.8964067
-95.4462919,29.9194375,-95.4462919,29.9194375
153.4,-28.016667,153.4,-28.016667
-106.321845,42.8455531,-106.321845,42.8455531
-74.4514576,40.8515819,-74.4514576,40.8515819
-70.9640988,41.9852391,-70.9640988,41.9852391
-93.2922989,37.2089572,-93.2922989,37.2089572
-80.2644254,43.1393867,-80.2644254,43.1393867
108.2171633,-7.3505808,108.2171633,-7.3505808
-122.0651819,37.9100783,-122.0651819,37.9100783
-50.4847577,-20.1975779,-50.4847577,-20.1975779
-0.8755515,52.2729944,-0.8755515,52.2729944
-4.2026458,56.4906712,-4.2026458,56.4906712
-4.312131,51.85762,-4.312131,51.85762
-80.1917902,25.7616798,-80.1917902,25.7616798
-96.9209135,32.7078751,-96.9209135,32.7078751
-82.9824019,39.3331197,-82.9824019,39.3331197
-85.6680863,42.9633599,-85.6680863,42.9633599
-96.3864428,44.7656804,-96.3864428,44.7656804
-88.2825668,42.0354084,-88.2825668,42.0354084
-80.2481666,43.5448048,-80.2481666,43.5448048
-2.970721,56.462018,-2.970721,56.462018
-88.1064787,43.0605671,-88.1064787,43.0605671
-83.336188,42.5921924,-83.336188,42.5921924
-75.5643923,39.7548625,-75.5643923,39.7548625
-83.7430378,42.2808256,-83.7430378,42.2808256
-71.0688334,42.3631542,-71.0688334,42.3631542
-89.4012302,43.0730517,-89.4012302,43.0730517
-78.8783689,42.8864468,-78.8783689,42.8864468
-2.9915726,53.4083714,-2.9915726,53.4083714
-118.2965084,33.7906551,-118.2965084,33.7906551
-3.5443928,55.9033656,-3.5443928,55.9033656
-105.0749801,40.3977612,-105.0749801,40.3977612
